jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
rock-corpus_140.jams,Ring Of Fire,Earl Scruggs feat. Billy Bob Thornton,Earl Scruggs and Friends,15,155,2002,32bd0ab6-fe39-41cb-b02d-ce65140f9379,USSM19917137,856630,https://www.deezer.com/track/856630,https://music.youtube.com/watch?v=1WaV2x8GXj0,,
rock-corpus_10.jams,Be-Bop-A-Lula,Johnny Hallyday,Lorada Tour,6,122,2012,09e808f5-bb3a-4dcf-9810-be8785547623,FR0W61209549,57776801,https://www.deezer.com/track/57776801,https://music.youtube.com/watch?v=N5o90GvtWMQ,,
rock-corpus_71.jams,I Believe I Can Fly,Me First and the Gimme Gimmes,Rake It In: The Greatestest Hits,18,320,2003,dc7bf11c-b261-4945-9176-eca259f5212c,USJI19610437,629335,https://www.deezer.com/track/629335,https://music.youtube.com/watch?v=4qPOWeA-L5I,,
rock-corpus_25.jams,Brown-Eyed Girl,Buster Poindexter,Scrooged,12,183,1999,78cafbae-b9a5-42c8-924b-febda508ecf2,USSM16701060,857994,https://www.deezer.com/track/857994,https://music.youtube.com/watch?v=yZ-VUnIehi8,,
rock-corpus_56.jams,God Only Knows,James,Gold Mother,14,175,2003,3676d063-a293-4d32-98c1-6e24670bdd7a,USCA29900676,3091976,https://www.deezer.com/track/3091976,https://music.youtube.com/watch?v=u90beUXTKwo,,
rock-corpus_94.jams,Johnny B. Goode,Los Suaves,¿Hay alguien ahí?,3,102,2023,e6a3b5fb-a293-465d-93dc-96c622cb4e24,GPHJP2300135,2390400835,https://www.deezer.com/track/2390400835,https://music.youtube.com/watch?v=Uf4rxCB4lys,,
rock-corpus_36.jams,Dancing Queen,ABBA,Arrival,1,231,2008,,SEAYD7601020,884025,https://www.deezer.com/track/884025,https://music.youtube.com/watch?v=YkLLcIKhJ64,,
rock-corpus_146.jams,Roll Over Beethoven,Electric Light Orchestra Part Two feat. the Moscow Symphony Orchestra,E.L.O.’s Greatest Hits Live,5,146,2023,cf70806e-251f-45b7-912c-a40fdfc5573f,GX9B32300500,2476803411,https://www.deezer.com/track/2476803411,https://music.youtube.com/watch?v=o3CAAcndhlM,,
rock-corpus_90.jams,In The Still Of The Night,The Five Satins,I'm Getting Sentimental Over You,1,701,2011,,USWWW0130210,1426189342,https://www.deezer.com/track/1426189342,https://music.youtube.com/watch?v=hJRDtzLiX4k,,
rock-corpus_22.jams,Born To Run,Marillion,Radiation,1,278,2023,5685c842-8404-49db-8560-262c06b4d34b,QM9WB2000217,2445624665,https://www.deezer.com/track/2445624665,https://music.youtube.com/watch?v=Wu4_zVxmufY,,
rock-corpus_188.jams,Who Do You Love,Golden Earring,Love Sweat,4,233,2020,cef24535-8fa4-4534-91cd-30248f2c87c4,USUM71400720,1059242162,https://www.deezer.com/track/1059242162,https://music.youtube.com/watch?v=t5NOYJYFmNk,,
rock-corpus_63.jams,Help,Pearl Jam,Riot Act,26,134,2023,b0b8ff36-7f4d-4600-97f4-757924d379e5,GPHJP2300158,2390401065,https://www.deezer.com/track/2390401065,https://music.youtube.com/watch?v=yGi1MePEN-k,,
rock-corpus_131.jams,Paranoid Android,Radiohead,OK Computer OKNOTOK 1997 2017,2,387,2015,,GBAYE9701376,138539973,https://www.deezer.com/track/138539973,https://music.youtube.com/watch?v=DExBeFCx3mQ,,
rock-corpus_159.jams,Summertime Blues,Puhdys,Rock'n'Roll Music / Jubiläumsalbum,1,115,2023,c152f455-b461-4a73-8a3e-e742ac33b619,QZYGC2307901,2473515241,https://www.deezer.com/track/2473515241,https://music.youtube.com/watch?v=1C38Zevwyx4,,
rock-corpus_133.jams,"Please, Please, Please",Sleeper,Inbetweener - The Best Of,2,173,2023,71ad5c27-c522-4675-a3c0-daf8557404cc,FR8X02300507,2473099571,https://www.deezer.com/track/2473099571,https://music.youtube.com/watch?v=7mgSM5PNupY,,
rock-corpus_185.jams,When A Man Loves A Woman,Michael Bolton,"Time, Love & Tenderness",1,175,2009,,USAT20901466,4209649,https://www.deezer.com/track/4209649,https://music.youtube.com/watch?v=hJ1zOW-xW3A,,
rock-corpus_171.jams,Dock Of The Bay,Otis Redding,The Dock of the Bay,1,201,2023,,NLT2H1900038,667748532,https://www.deezer.com/track/667748532,https://music.youtube.com/watch?v=Zu5chXCp1Ag,,
rock-corpus_186.jams,When Doves Cry,Borai,Purple,6,352,1984,720e6a78-2ef0-4665-8a3d-13de629e2897,USWB10001877,2794651,https://www.deezer.com/track/2794651,https://music.youtube.com/watch?v=oTUSeac7IuQ,,
rock-corpus_29.jams,Cathy's Clown,The Everly Brothers,Wake Up Little Susie,1,142,2023,,QZYGC2307487,2471436181,https://www.deezer.com/track/2471436181,https://music.youtube.com/watch?v=yyeryRobP2g,,
rock-corpus_164.jams,Sympathy For The Devil,Louis Bertignac,Bertignac Live,1,377,2011,8b4a5a75-b030-4c0e-943d-4767ae817f39,USA176810010,9956063,https://www.deezer.com/track/9956063,https://music.youtube.com/watch?v=uWepTCBBnLo,,
rock-corpus_0.jams,1999,LUNA SEA,COMPLETE ALBUM BOX,18,243,2023,cb8e67b3-f39b-47b3-8235-b06ad975e36b,USCA29900799,2461977875,https://www.deezer.com/track/2461977875,https://music.youtube.com/watch?v=NbMWnSxGd4w,,
rock-corpus_149.jams,September Gurls,Peter Stampfel,Peter Stampfel's 20th Century,9,163,1985,45b76250-a91c-4e70-be35-6c3f97ae6034,USSM18500265,70508995,https://www.deezer.com/track/70508995,https://music.youtube.com/watch?v=Epw7-dEUwG8,,
rock-corpus_39.jams,Earth Angel,Clinic,Internal Wrangler,3,178,2011,b98b9296-29d0-4955-85b0-9d9456984022,GBDAG1104023,61761850,https://www.deezer.com/track/61761850,https://music.youtube.com/watch?v=HUmRN3WekoY,,
rock-corpus_81.jams,I Wanna Be Sedated,Ramones,Greatest Hits Live,7,149,2018,d55a62e3-57ed-49e7-8f24-5fbac9fb3f6c,USRH11802019,556340432,https://www.deezer.com/track/556340432,https://music.youtube.com/watch?v=M4p-02K3gM0,,
rock-corpus_101.jams,Light My Fire,Puhdys,Rock'n'Roll Music / Jubiläumsalbum,6,425,1967,c024213a-8c27-439d-97cb-53f78816af1f,USEE19900203,3614129,https://www.deezer.com/track/3614129,https://music.youtube.com/watch?v=qoX6AKuYWL8,,
rock-corpus_194.jams,Yesterday (1965),Lambretta,Breakfast,11,162,2016,288697ce-cca4-4c41-a87b-32989fed41e3,GBDCE1100068,122171908,https://www.deezer.com/track/122171908,https://music.youtube.com/watch?v=fCV9oqtwyVA,,
rock-corpus_34.jams,Da Doo Ron Ron,The Crystals,Twist Uptown (Bonus Track Version),8,207,2023,,KRNAR2330623,2473143431,https://www.deezer.com/track/2473143431,https://music.youtube.com/watch?v=v8jiGSNAlk8,,
rock-corpus_196.jams,You Really Got Me,The Kinks,The Mono Collection,8,134,2009,abdb68c8-880a-4eb8-8468-6141576ab052,GB5KW1499655,89239759,https://www.deezer.com/track/89239759,https://music.youtube.com/watch?v=bZ4uGV6Goy0,,
rock-corpus_141.jams,River Deep Mountain High,Ike & Tina Turner,River Deep Mountain High,1,219,1989,,USAM10200063,877246,https://www.deezer.com/track/877246,https://music.youtube.com/watch?v=zmS-jjVwvmQ,,
rock-corpus_137.jams,Rave On,Blumentopf,Großes Kino,4,171,2006,f598dd39-5ccf-43d1-a362-721956539440,GBBFR0000055,2283797,https://www.deezer.com/track/2283797,https://music.youtube.com/watch?v=-t4KSTGzSo0,,
rock-corpus_5.jams,All Along The Watchtower,Dave Matthews Band,"Live at Folsom Field: Boulder, Colorado",5,238,2010,ae03281a-5f31-4085-a0de-0b53921dd3e4,USQX90900749,4952889,https://www.deezer.com/track/4952889,https://music.youtube.com/watch?v=Jt-ysw-Dy58,,
rock-corpus_68.jams,Hotel California,Rock Kids,Kids Will Rock You,1,391,2017,b8fde98d-ace5-4e2e-9b80-b0bce67f27c5,USEE11300353,426703682,https://www.deezer.com/track/426703682,https://music.youtube.com/watch?v=jVHhV3A5C5c,,
rock-corpus_50.jams,Fortunate Son,Creedence Clearwater Revival,The Ultimate Creedence Clearwater Revival,3,136,2023,e5178630-952b-486e-bb67-559c62f1b3db,IT0412300749,2137037767,https://www.deezer.com/track/2137037767,https://music.youtube.com/watch?v=r5NzAksjfDI,,
rock-corpus_9.jams,Back In Black,Living Colour,Collideøscope,6,255,1980,7e095118-e012-419c-b98e-c99ac39d2356,AUAP08000046,92720046,https://www.deezer.com/track/92720046,https://music.youtube.com/watch?v=9vWNauaZAgg,,
rock-corpus_192.jams,With Or Without You,Dope,Life,3,295,2007,c514177b-5d8d-4caa-9739-cc108d09b0b9,GBUM70709792,912486,https://www.deezer.com/track/912486,https://music.youtube.com/watch?v=oNvWDP_GkiY,,
rock-corpus_160.jams,Sunshine Of Your Love,Eric Clapton,Clapton Chronicles: The Best of Eric Clapton & Special Bonus Selection Korea Tour 2007 Limited Edition,4,251,1994,35e0c2ed-9e25-4e9b-a242-8a7b88003db6,GBA076700020,1175615,https://www.deezer.com/track/1175615,https://music.youtube.com/watch?v=f3y8jf01UY8,,
rock-corpus_87.jams,In Bloom,ZEROBASEONE,YOUTH IN THE SHADE,1,109,2022,,UK6821737642,1995166457,https://www.deezer.com/track/1995166457,https://music.youtube.com/watch?v=AO6BlpKi3G0,,
rock-corpus_163.jams,Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,9,356,2018,,USGF18714809,518458172,https://www.deezer.com/track/518458172,https://music.youtube.com/watch?v=oMfMUfgjiLg,,
rock-corpus_165.jams,Take Me To The River,Foghat,Return of the Boogie Men,1,176,2023,2c672007-2004-4f1c-b5e5-962560a21f69,GBARL2300624,2295749975,https://www.deezer.com/track/2295749975,https://music.youtube.com/watch?v=fWUL23IAh-Q,,
rock-corpus_96.jams,Kashmir,bond,Shine,6,517,2015,d807ba9c-c85b-4aed-b444-4a194732b5f8,USAT21300969,95085780,https://www.deezer.com/track/95085780,https://music.youtube.com/watch?v=tzVJPgCn-Z8,,
rock-corpus_21.jams,Born To Be Wild,Puhdys,Raritäten: Besondere Hits,5,210,1991,d2fcc6d7-92c5-4ed1-b9da-63f304ae5457,USMC16846563,2502468,https://www.deezer.com/track/2502468,https://music.youtube.com/watch?v=93fAJe8WVjA,,
rock-corpus_59.jams,Good Vibrations,Gym Class Heroes,"The Road Mix: Music From the Television Series One Tree Hill, Volume 3",30,216,2014,1525159b-b1b2-4ff0-b65c-d5ed0df855a1,USCA20100360,3091992,https://www.deezer.com/track/3091992,https://music.youtube.com/watch?v=YCJV-dKj_W8,,
rock-corpus_134.jams,Proud Mary,Creedence Clearwater Revisited,Recollection,3,186,2009,4d0cc4b6-616c-456f-92fb-0bfafe7b1662,USFI86900049,883642,https://www.deezer.com/track/883642,https://music.youtube.com/watch?v=Gciy9oG5678,,
rock-corpus_138.jams,Redemption Song,No Use for a Name,¡Leche con Carne!,10,233,2001,ca13427e-c7bc-4724-96ef-c721c24a54dc,USIR28000018,2542705,https://www.deezer.com/track/2542705,https://music.youtube.com/watch?v=1A95dcLxAuA,,
rock-corpus_80.jams,I Walk The Line,Johnny Cash,"Walk The Line, Vol. One",3,151,2019,,USMR18886881,700715292,https://www.deezer.com/track/700715292,https://music.youtube.com/watch?v=J-6fW66IUY4,,
rock-corpus_12.jams,Billie Jean,Michael Jackson,Thriller,13,294,2009,,USSM19902991,4603408,https://www.deezer.com/track/4603408,https://music.youtube.com/watch?v=Kr4EQDVETuA,,
rock-corpus_79.jams,I Still Haven't Found What I'm Looking For,U2,The Joshua Tree (Super Deluxe),2,277,2007,,GBUM70709783,912481,https://www.deezer.com/track/912481,https://music.youtube.com/watch?v=fo2Q-YH6vow,,
rock-corpus_99.jams,Let's Get It On,Bill Wyman,The Bill Wyman Compendium: Complete Solo Recordings,8,291,2007,705221b7-a333-4e9b-878a-404788984409,USMO17300037,906616,https://www.deezer.com/track/906616,https://music.youtube.com/watch?v=tQj1kPmQXwE,,
rock-corpus_112.jams,Love Will Tear Us Apart,Joy Division,Love Will Tear Us Apart,1,198,2004,,GBEWK0400019,2336461595,https://www.deezer.com/track/2336461595,https://music.youtube.com/watch?v=aYCshYyFzls,,
rock-corpus_179.jams,Up On The Roof,The Antlers,In the Attic of the Universe,5,180,2014,a3271e75-ea0e-4cd4-b06c-358df731a985,UK8D41407594,2476957801,https://www.deezer.com/track/2476957801,https://music.youtube.com/watch?v=MMyDiHNNq1Y,,
rock-corpus_150.jams,Shake Rattle And Roll,Benny Goodman and His Orchestra,"The Encyclopedia of Jazz, Part 3/5: Big Bands - The Giants of the Swing Big Band Era",35,151,2023,f4c29217-a261-4189-8bd3-a4d3b3638e79,GX9B32300553,2476803201,https://www.deezer.com/track/2476803201,https://music.youtube.com/watch?v=rJoTiZ0tHYc,,
rock-corpus_106.jams,Long Tall Sally,Little Richard,Deluxe: Greatest Hits - Little Richard,2,134,2023,,GX9B32300527,2476803711,https://www.deezer.com/track/2476803711,https://music.youtube.com/watch?v=E68N5E1d0_M,,
rock-corpus_103.jams,Little Red Corvette,Jill Johnson,The Woman I've Become,2,303,1982,cba60947-43fe-4b91-b9da-372d8f87de1a,USWB10003038,690106,https://www.deezer.com/track/690106,https://music.youtube.com/watch?v=5d8RfdPkMck,,
rock-corpus_23.jams,Both Sides Now,Anne Murray,There Goes My Everything,10,274,1975,44fb8eb6-4765-4db5-8de7-a2e00a6f15ce,USRE19600234,3957786,https://www.deezer.com/track/3957786,https://music.youtube.com/watch?v=7m_t3_1vbX8,,
rock-corpus_155.jams,Stairway To Heaven,Dolly Parton,Halos & Horns,4,482,1971,ebdeeb7c-78f5-4b2d-96bf-37c217548eda,USAT21300959,88003859,https://www.deezer.com/track/88003859,https://music.youtube.com/watch?v=X791IzOwt3Q,,
