jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
rock-corpus_61.jams,Hallelujah,the telephones,Love&DISCO E.P.,17,154,2023,33b2940e-24ae-4278-b8ed-669b109d0371,FR8X02300546,2473099961,https://www.deezer.com/track/2473099961,https://music.youtube.com/watch?v=Sc9SyCGobWM,,
rock-corpus_16.jams,Blowin' In The Wind,Joan Baez,A Celebration of American Folk Music,14,407,2001,c2d4ae08-5da0-4700-bb8d-6fad0fe520bf,USBR10100076,551325,https://www.deezer.com/track/551325,https://music.youtube.com/watch?v=u0uFQnXKBkE,,
rock-corpus_125.jams,Nothing Compares 2 U,Chris Cornell,No One Sings Like You Anymore,1,280,2008,7cbf1b06-aa34-4973-a8eb-4c4378935595,GBAYK9000017,1787569267,https://www.deezer.com/track/1787569267,https://music.youtube.com/watch?v=BqXCpmHPss8,,
rock-corpus_197.jams,You Send Me,Sam Cooke,You Send Me,1,164,2016,,USRC10501171,119940680,https://www.deezer.com/track/119940680,https://music.youtube.com/watch?v=7u9_Cu2ilOg,,
rock-corpus_102.jams,Like A Rolling Stone,Grace Jones,Warm Leatherette,1,369,1965,08420712-2d44-4296-a7f8-031de1b8479a,USSM19922509,14477354,https://www.deezer.com/track/14477354,https://music.youtube.com/watch?v=iN0Iwmm9AdA,,
rock-corpus_113.jams,Lust For Life,T.A.S.S.,Suck,2,264,2017,4aadeba0-2bf5-4ed1-8da2-0ad02927ca5b,GBUM71701127,383962071,https://www.deezer.com/track/383962071,https://music.youtube.com/watch?v=LCQ_1RyoD5Y,,
rock-corpus_73.jams,I Can't Stop Loving You,Ray Charles,"Modern Sounds in Country and Western Music, Vols 1 & 2",3,251,2016,,FR6F31645680,136308030,https://www.deezer.com/track/136308030,https://music.youtube.com/watch?v=YDqwmaI_IdU,,
rock-corpus_85.jams,I'm Waiting For The Man,The Velvet Underground,The Velvet Underground & Nico,2,279,2012,,USPR36702760,61299355,https://www.deezer.com/track/61299355,https://music.youtube.com/watch?v=99og_g7rXnA,,
rock-corpus_139.jams,Respect,Train,"Songs From Dawson's Creek, Volume 2",35,65,2023,f9bdd1bc-6d85-494c-92ab-c26d1fcbdaeb,AUBEC2321896,2295495115,https://www.deezer.com/track/2295495115,https://music.youtube.com/watch?v=9iayJ8u4Qew,,
rock-corpus_128.jams,Paint It Black,Gil Scott‐Heron,Small Talk at 125th and Lenox,1,202,2011,7b17c71f-f49f-4248-b3b4-335edbc4334d,USA176610020,9956014,https://www.deezer.com/track/9956014,https://music.youtube.com/watch?v=170sceOWWXc,,
rock-corpus_162.jams,Suspicious Minds,Elvis Presley,From Elvis in Memphis,20,269,2023,,GPHJP2300152,2390401005,https://www.deezer.com/track/2390401005,https://music.youtube.com/watch?v=4Zt8yLQTNqM,,
rock-corpus_115.jams,Maybellene,Johnny Hallyday,Maybellene / Blueberry Hill,1,141,2023,63af31d8-36fb-4b5a-8b12-a73269cbce3d,GX9B32300496,2476803371,https://www.deezer.com/track/2476803371,https://music.youtube.com/watch?v=7jgkFQw5-gQ,,
rock-corpus_4.jams,A Whiter Shade Of Pale,Black Label Society,"Hangover Music, Vol. VI",3,316,1995,0dd6fd64-125e-4938-bfea-daa120abcbe4,GBARL9500008,1043778,https://www.deezer.com/track/1043778,https://music.youtube.com/watch?v=hxa6GUIkNac,,
rock-corpus_95.jams,Jumpin' Jack Flash,Motörhead,Bastards,1,222,2005,f17ce307-f200-4ed6-8eb0-f11aeeecc7ad,USA176810110,16702522,https://www.deezer.com/track/16702522,https://music.youtube.com/watch?v=0cPXwc-5Kw8,,
rock-corpus_169.jams,That's All Right,FLAME,BOYS' QUEST,1,121,2023,688b594b-c9c7-447c-92d7-6c17ceb873ca,GX9B32300464,2476802861,https://www.deezer.com/track/2476802861,https://music.youtube.com/watch?v=7oLEL0vJvyY,,
rock-corpus_124.jams,Not Fade Away,The Rolling Stones,The Rolling Stones In Mono,1,202,2017,,GBCBR1700083,371630841,https://www.deezer.com/track/371630841,https://music.youtube.com/watch?v=Gj8TJUniGwk,,
rock-corpus_1.jams,A Change Is Gonna Come,Jools Holland & His Rhythm & Blues Orchestra feat. Beverley Knight,More Friends,1,191,2009,e2f35992-c3f9-4c13-a823-ff636d005ebc,USA176420220,9938661,https://www.deezer.com/track/9938661,https://music.youtube.com/watch?v=AaA6cIr7U_Y,,
rock-corpus_119.jams,My Generation,Rock Kids,Kids Will Rock You,6,200,2016,69b9597c-7a70-4987-9856-36db55e4c907,GBAKW6500004,136341550,https://www.deezer.com/track/136341550,https://music.youtube.com/watch?v=MgJ9K7cPRKk,,
rock-corpus_167.jams,Tears In Heaven,Eric Clapton,Rush (Music from the Motion Picture Soundtrack),10,271,1992,,USRE19100010,4654895,https://www.deezer.com/track/4654895,https://music.youtube.com/watch?v=VVqXLXMch9g,,
rock-corpus_64.jams,Heroes,Utah Phillips and Ani DiFranco,The Past Didn't Go Anywhere,7,132,2023,a91f4111-bb35-4679-87fc-d6832e5bfa89,ITNTP2300008,2444001615,https://www.deezer.com/track/2444001615,https://music.youtube.com/watch?v=YLp2cW7ICCU,,
rock-corpus_66.jams,Honky Tonk Women,Joe Cocker,The Anthology,4,179,2005,f1d980f1-399e-47f1-801b-13dc99e8d2ae,USA176910010,16702525,https://www.deezer.com/track/16702525,https://music.youtube.com/watch?v=61jfm219ArA,,
rock-corpus_174.jams,The Times They Are A-Changin',Manfred Mann’s Earth Band,40th Anniversary,1,192,2014,76bea508-3c2f-4924-b18b-1478d17e1b27,USSM10007452,15398875,https://www.deezer.com/track/15398875,https://music.youtube.com/watch?v=s3qndXvBmr0,,
rock-corpus_28.jams,California Love,USC Trojan Marching Band,The Gold Standards,6,285,2009,4ea7a984-3952-459b-8f77-a0899debc99f,USUG10702629,87960517,https://www.deezer.com/track/87960517,https://music.youtube.com/watch?v=eD8lmkBCma4,,
rock-corpus_173.jams,The Sounds Of Silence,Disturbed,Immortalized (Deluxe Edition),5,184,1972,,USSM16401426,679958772,https://www.deezer.com/track/679958772,https://music.youtube.com/watch?v=_gRsZqSNvKU,,
rock-corpus_180.jams,Voodoo Child,The Jimi Hendrix Experience,Electric Ladyland - 50th Anniversary Deluxe Edition,16,313,2010,,USQX90900750,4952826,https://www.deezer.com/track/4952826,https://music.youtube.com/watch?v=L7UMubmfbH0,,
rock-corpus_13.jams,Bitter Sweet Symphony,The Verve,Bitter Sweet Symphony,8,359,2017,,GBAAA9700049,432946922,https://www.deezer.com/track/432946922,https://music.youtube.com/watch?v=_UWOHofs0kA,,
rock-corpus_120.jams,My Girl,Patricia Barber,A Distortion of Love,8,226,2023,86b29d6e-6901-4267-908d-b45f7889ea12,ITDD82304595,2464613845,https://www.deezer.com/track/2464613845,https://music.youtube.com/watch?v=szbI1vu-cCc,,
rock-corpus_107.jams,Lose Yourself,Eminem,Just Lose It,6,326,2005,,USIR10211559,1109731,https://www.deezer.com/track/1109731,https://music.youtube.com/watch?v=4wOLVrGHiIU,,
rock-corpus_40.jams,Eight Miles High,Chris Hillman,The Other Side,7,214,2000,db6fa29f-191d-4ea5-948b-0e5cf4ac5c00,USSM16600032,1016525,https://www.deezer.com/track/1016525,https://music.youtube.com/watch?v=Le42qL3h8dw,,
rock-corpus_19.jams,Bo Diddley,Hurriganes,Live in Stockholm 1977,21,210,2023,886e1ae1-c824-48da-a57c-c3134d870051,USUG11500006,2461985485,https://www.deezer.com/track/2461985485,https://music.youtube.com/watch?v=WJLy-Fnedy8,,
rock-corpus_157.jams,Strawberry Fields Forever,Mother’s Finest,Subluxation,8,247,2015,79efab95-f5de-426c-8523-8526f6bf239b,GBAYE0601640,116348294,https://www.deezer.com/track/116348294,https://music.youtube.com/watch?v=wwrTkhD_zm8,,
rock-corpus_69.jams,Hound Dog,James Booker,Classified,17,155,2023,5e3c22f4-a679-428d-9b0a-429c781a29f6,GPHJP2300149,2390400975,https://www.deezer.com/track/2390400975,https://music.youtube.com/watch?v=VuBDa3SpOL8,,
rock-corpus_24.jams,Bridge Over Troubled Water,Simon & Garfunkel,God Bless America,9,293,1972,,USSM16900808,679958812,https://www.deezer.com/track/679958812,https://music.youtube.com/watch?v=KXm1xG1C080,,
rock-corpus_144.jams,Rock Lobster,The B-52's,B-52's,4,412,2015,,USIR27900014,99402558,https://www.deezer.com/track/99402558,https://music.youtube.com/watch?v=2uH5AhFh8UI,,
rock-corpus_166.jams,Tangled Up In Blue,Indigo Girls,1200 Curfews,1,341,1975,097ac5cd-95da-4bf9-94b9-a6cd364916fc,USSM19906468,15188933,https://www.deezer.com/track/15188933,https://music.youtube.com/watch?v=1RriY8PXnx4,,
rock-corpus_175.jams,The Tracks Of My Tears,Carmel,The Drum Is Everything,3,162,2023,177ca6a4-31de-4143-b783-38b21fcec806,DELM42306253,2397977695,https://www.deezer.com/track/2397977695,https://music.youtube.com/watch?v=Yf2CB32jDYc,,
rock-corpus_136.jams,Purple Rain,Stina Nordenstam,Un hiver 99,9,520,1984,274f00de-d072-4c1e-ab80-0740b0a865a6,USWB10001880,2794654,https://www.deezer.com/track/2794654,https://music.youtube.com/watch?v=S6Y1gohk5-A,,
rock-corpus_7.jams,All I Have To Do Is Dream,Nils Lofgren,Breakaway Angel,4,138,2023,a3728675-725c-4332-acd2-0762f1f6bc93,QZYGC2307490,2471436211,https://www.deezer.com/track/2471436211,https://music.youtube.com/watch?v=56cKlT62wrQ,,
rock-corpus_35.jams,Dancing In The Street,David Bowie,Dancing In The Street,1,225,2019,,USUM71910357,700709132,https://www.deezer.com/track/700709132,https://music.youtube.com/watch?v=AYd1x5m5Bj0,,
rock-corpus_57.jams,God Save The Queen,Fury Weekend feat. Scandroid,Signals (Deluxe Edition),5,199,2012,64916363-9413-472c-8ddb-b6923d24dc73,GBUM71200588,60742395,https://www.deezer.com/track/60742395,https://music.youtube.com/watch?v=nE-AXzHFT1U,,
rock-corpus_170.jams,The Boxer,Joan Baez,La Discothèque idéale : American Legends,6,308,1970,d8771492-01c8-47ce-be62-192c4fe379a2,USSM16900831,13174769,https://www.deezer.com/track/13174769,https://music.youtube.com/watch?v=2IClvIiS7_c,,
rock-corpus_143.jams,Rock Around The Clock,DJ Honda feat. Problemz,h ll,21,134,2007,df86f99d-b2ef-4e87-b0a2-76adca3bf45a,USA560728489,1749949,https://www.deezer.com/track/1749949,https://music.youtube.com/watch?v=Rr3hP8NQ9KM,,
rock-corpus_92.jams,I've Been Loving You,The Milk Carton Kids,All the Things That I Did and All the Things That I Didn't Do,5,180,2008,372928c1-36c6-4eca-917c-0fb4a530fd11,USAT21403955,86490065,https://www.deezer.com/track/86490065,https://music.youtube.com/watch?v=T0zROagSE7U,,
rock-corpus_109.jams,Losing My Religion,R.E.M.,Out Of Time,2,268,2016,,USC4R1605373,136334560,https://www.deezer.com/track/136334560,https://music.youtube.com/watch?v=Efa6BAWPm9o,,
rock-corpus_84.jams,I'm So Lonesome,The Mutes from Mars,Martion Fuhtre,8,164,2023,cadf1b98-63f0-43c2-ba1b-600fc4588801,QZYGC2307764,2475117141,https://www.deezer.com/track/2475117141,https://music.youtube.com/watch?v=JHZ_Ax71RdA,,
rock-corpus_91.jams,"It's A Man's, Man's, Man's World",James Brown & The Famous Flames,It's A Man's Man's Man's World,3,233,2008,,USWB10807365,4091850,https://www.deezer.com/track/4091850,https://music.youtube.com/watch?v=hK97cdbbsQw,,
rock-corpus_77.jams,I Only Have Eyes For You,Mark Eitzel,Music for Courage & Confidence,3,256,2023,9aebe50a-b252-4ce6-a2d4-d91b482e8b7b,ZA42A2307313,2469973395,https://www.deezer.com/track/2469973395,https://music.youtube.com/watch?v=1_urvud-Oi0,,
rock-corpus_189.jams,Whole Lotta Love,Led Zeppelin,Led Zeppelin II (Deluxe Edition),1,334,1969,,USAT21300925,78671026,https://www.deezer.com/track/78671026,https://music.youtube.com/watch?v=0bcIjILqORM,,
rock-corpus_11.jams,Be My Baby,Vanessa Paradis,Live,3,147,2023,96cae1f2-9dd7-4eb5-a067-46696b1a9d77,FR8X02300585,2473100351,https://www.deezer.com/track/2473100351,https://music.youtube.com/watch?v=QBDem6bffyo,,
rock-corpus_152.jams,Should I Stay Or Should I Go?,Living Colour,Biscuits,3,189,1982,156d03ab-5e65-43dd-9f65-1cc90220f06b,GBARL1200670,69962764,https://www.deezer.com/track/69962764,https://music.youtube.com/watch?v=wjZMcWaniA4,,
rock-corpus_181.jams,Walk On By,Cyndi Lauper,At Last,8,178,2013,6066b9d4-3fe9-4bac-aa2d-72407363dd23,USWSP0000173,723803,https://www.deezer.com/track/723803,https://music.youtube.com/watch?v=vsGsCvJWEo8,,
rock-corpus_199.jams,You've Lost That Lovin' Feelin',The Righteous Brothers,The Very Best Of The Righteous Brothers - Unchained Melody,29,257,2023,,GPHJP2300161,2390401095,https://www.deezer.com/track/2390401095,https://music.youtube.com/watch?v=xbg1gkWb0Wo,,
rock-corpus_58.jams,Good Golly Miss Molly,Puhdys,Rock ’n’ Roll Music,11,133,2023,3e70dc49-aaf9-446d-9469-0cc426fccb7f,GX9B32300536,2476803801,https://www.deezer.com/track/2476803801,https://music.youtube.com/watch?v=ixlWhzxixYM,,
rock-corpus_70.jams,House Of The Rising Sun,Schades Pigband,Solino,1,269,2011,4a170b8e-c0bd-4eb3-964e-853ca9c95987,GBAYE6400209,3155135,https://www.deezer.com/track/3155135,https://music.youtube.com/watch?v=PqW4GCmQSt4,,
rock-corpus_104.jams,Living For The City,O'Donel Levy,Everything I Do Gonna Be Funky,18,219,2018,52e75d22-5740-4bd0-a8ce-62b6aaae4ffe,USMO10000390,538709482,https://www.deezer.com/track/538709482,https://music.youtube.com/watch?v=ghLWjyOOLno,,
rock-corpus_72.jams,I Can't Make You Love Me,Britney Spears,Oops!…I Did It Again,3,362,2014,9eb105f5-dfd3-4a50-9717-49fc4a606082,TCABO1353018,68039620,https://www.deezer.com/track/68039620,https://music.youtube.com/watch?v=_z2PAkOSJT0,,
rock-corpus_38.jams,Dream On,Irina Björklund & Peter Fox,Vintage Espresso,3,267,2022,5b5f375a-1e17-4f47-95f5-199f78baacff,USSM10011897,2058907137,https://www.deezer.com/track/2058907137,https://music.youtube.com/watch?v=9PpXu-2fPHc,,
rock-corpus_121.jams,Mystery Train,Rainbirds,Two Faces,29,149,2023,9ede73c2-87d9-4119-8b26-3c55eb980913,GX9B32300492,2476803141,https://www.deezer.com/track/2476803141,https://music.youtube.com/watch?v=Wdqh5sEZe9Y,,
rock-corpus_20.jams,Bohemian Rhapsody,Russell Watson,The Voice,11,354,2011,9e372dde-4e42-43c9-b3e6-bd962e98ffb0,GBUM71029604,9997018,https://www.deezer.com/track/9997018,https://music.youtube.com/watch?v=bSnlKl_PoQU,,
rock-corpus_178.jams,Tutti Frutti,Adrian Simionescu & L'Orchestre Marin Ioan,Gadjo Dilo,1,151,2023,eb293e6f-43e9-4e93-8fb7-0c55616ed57e,GX9B32300526,2476803701,https://www.deezer.com/track/2476803701,https://music.youtube.com/watch?v=NnIIvWnpaBU,,
rock-corpus_15.jams,Blitzkrieg Bop,Ramones,Greatest Hits Live,1,134,2016,8a8d2381-d598-41df-93a1-124e161c37a7,USRH11601901,131744724,https://www.deezer.com/track/131744724,https://music.youtube.com/watch?v=skdE0KAFCEA,,
rock-corpus_114.jams,Maggie May,Head Candy,20 More Explosive Fantastic Rockin' Mega Smash Hit Explosions!,1,317,2018,12cb19cd-5bb6-40a5-877e-d09a2308e83a,USIR20000701,538641872,https://www.deezer.com/track/538641872,https://music.youtube.com/watch?v=pj2EQRLm7Vc,,
rock-corpus_8.jams,Anarchy In The U.K.,レピッシュ,LA-PPISCH BEST 1987〜1997 あとのまつり,8,212,2012,8f28207c-87e0-496a-a2a6-7d0da88b2ec4,GBUM71200591,33255551,https://www.deezer.com/track/33255551,https://music.youtube.com/watch?v=YJRnwaEUNkM,,
rock-corpus_93.jams,Jailhouse Rock,Aguaturbia,Complete Tracks,12,151,2023,22e21e01-1a0d-43c5-81ad-e2a0aed73e90,GX9B32300475,2476802971,https://www.deezer.com/track/2476802971,https://music.youtube.com/watch?v=ppMZxuZ1lLg,,
rock-corpus_117.jams,Me And Bobby McGee,Janis Joplin,Pearl,7,271,1971,,USSM17000790,1040945,https://www.deezer.com/track/1040945,https://music.youtube.com/watch?v=-ggFIeg5u1M,,
rock-corpus_153.jams,Shout,Les Chaussettes Noires,Comment réussir en amour,25,251,2023,ad977b02-7d58-4f22-b253-1dd4b1608bd0,ITDD82304625,2466535335,https://www.deezer.com/track/2466535335,https://music.youtube.com/watch?v=qt94Sx-tcYA,,
rock-corpus_75.jams,I Got You (I Feel Good),James Brown & The Famous Flames,I Got You (I Feel Good),3,164,2011,,SEWDL6003710,10424282,https://www.deezer.com/track/10424282,https://music.youtube.com/watch?v=iSLwVaebsJg,,
rock-corpus_52.jams,Free Fallin',John Mayer,Absolute Acoustic Volume 2,1,256,2008,608fc521-543e-44d8-bb89-4c2f5263ac6f,USMC18925673,2303727,https://www.deezer.com/track/2303727,https://music.youtube.com/watch?v=PIuAFrLeXfY,,
rock-corpus_2.jams,A Day In The Life,Johnny Clegg,One Life,13,337,2015,63722bc0-e51d-4370-8676-e25335c6c81f,GBAYE0601519,116348694,https://www.deezer.com/track/116348694,https://music.youtube.com/watch?v=UYeV7jLBXvA,,
rock-corpus_89.jams,In The Midnight Hour,Wilson Pickett,In The Midnight Hour / I'm Not Tired,23,148,2023,,USAT20611110,2473636701,https://www.deezer.com/track/2473636701,https://music.youtube.com/watch?v=Il-usrZxGns,,
rock-corpus_145.jams,Rockin' In The Free World,Pearl Jam,"2000-06-22: Fila Forum Arena, Milan, Italy (#20)",12,281,1989,80596eb5-b4d4-4cce-a688-422b910029ee,USRE19900712,4094888,https://www.deezer.com/track/4094888,https://music.youtube.com/watch?v=DvxxdZpMFHg,,
rock-corpus_62.jams,Heartbreak Hotel,Frijid Pink,Flower Power,12,100,2023,7813ff19-3d85-4ff5-9add-5dfbb2e34205,GPHJP2300144,2390400925,https://www.deezer.com/track/2390400925,https://music.youtube.com/watch?v=LGwO2BaDJQc,,
rock-corpus_31.jams,Come As You Are,Travis,The Man Who,3,218,2011,54da3a4f-3d18-464f-b0d8-ea43472219ed,USGF19942503,13791932,https://www.deezer.com/track/13791932,https://music.youtube.com/watch?v=ZEMBDKMtHqM,,
rock-corpus_46.jams,Family Affair,Frank DeVol,100% Television Themes,6,266,2006,2445ce2a-4f43-4a3c-b5e2-3b57601547a3,USMC10111369,1161679,https://www.deezer.com/track/1161679,https://music.youtube.com/watch?v=XPqg74xDU_4,,
rock-corpus_184.jams,What's Going On,EXILE,願いの塔,1,233,2020,42a923c0-1db0-4cfc-9234-1390af72123d,USMO17100041,1133408852,https://www.deezer.com/track/1133408852,https://music.youtube.com/watch?v=B6GdsRIbTSk,,
rock-corpus_37.jams,Dont Worry Baby,Ronnie Spector,She Talks to Rainbows,7,169,2003,b1225a61-9df2-4a26-851d-9589e0036f03,USCA28600059,3091969,https://www.deezer.com/track/3091969,https://music.youtube.com/watch?v=bQWTneirnPc,,
rock-corpus_142.jams,Rock And Roll Music,Various Artists,Ultimate Rock n Roll Party - The Very Best 50s & 60s Party Hits Ever - Classic Fifties & Sixties Rock and Roll Songs for 1950s & 1960s Jumping & Jive Dance Parties (Jukebox Mix Edition),10,154,2023,,GX9B32300505,2476803461,https://www.deezer.com/track/2476803461,https://music.youtube.com/watch?v=0jj4gx1P8x4,,
rock-corpus_67.jams,Hot Stuff,Banda Brasileira,Radio Bossa,1,199,2020,24718f2e-14c2-4e1b-a952-d7df5ebd6b01,SEBGA2000777,1076379582,https://www.deezer.com/track/1076379582,https://music.youtube.com/watch?v=0YLiTLmrMZA,,
rock-corpus_129.jams,Papa Was A Rollin' Stone,The Temptations,All Directions,3,704,2018,,USMO17290001,538637072,https://www.deezer.com/track/538637072,https://music.youtube.com/watch?v=71l85z2bXAs,,
rock-corpus_14.jams,Bizarre Love Triangle,New Order,Bizarre Love Triangle,6,262,2015,531ee8be-8b25-4920-b192-8db263591d22,GBAAP1500400,107737890,https://www.deezer.com/track/107737890,https://music.youtube.com/watch?v=ZnrSNEah_20,,
rock-corpus_51.jams,Foxey Lady,Jimi Hendrix,Message to Love: The Isle of Wight Festival 1970,10,198,2010,4d958a45-ea40-4a58-a46d-181694bfdd1b,USQX90900774,4969010,https://www.deezer.com/track/4969010,https://music.youtube.com/watch?v=8BzFtEp0of8,,
rock-corpus_154.jams,Smells Like Teen Spirit,Scala & Kolacny Brothers,Dream On / On the Rocks,1,301,2011,dbdff154-21b7-49dc-aa27-e9bd8499e4c6,USGF19942501,13791930,https://www.deezer.com/track/13791930,https://music.youtube.com/watch?v=ljUtuoFt-8c,,
rock-corpus_3.jams,A Hard Day's Night,The Beatles,1,6,152,2015,,GBUM71505887,116348602,https://www.deezer.com/track/116348602,https://music.youtube.com/watch?v=AMSiHdrHl0g,,
rock-corpus_78.jams,I Saw Her Standing There,Elton John,Rare Masters,1,173,2014,4c47786e-f402-4bb2-b131-edeef50357f4,GBAYE0601410,116348314,https://www.deezer.com/track/116348314,https://music.youtube.com/watch?v=oxwAB3SECtc,,
rock-corpus_97.jams,Layla,De Kreuners,De singles,5,260,1999,36651b39-4df5-4cba-a361-a4a4fccb9e8d,USRE19900125,1940201287,https://www.deezer.com/track/1940201287,https://music.youtube.com/watch?v=TngViNw2pOo,,
rock-corpus_118.jams,Mr. Tambourine Man (Dylan),Roger McGuinn,Bob Dylan: The 30th Anniversary Concert Celebration,1,358,2011,d18e74e9-c01f-40f3-b0c2-61b8a415c9f5,USA560764163,10366376,https://www.deezer.com/track/10366376,https://music.youtube.com/watch?v=bH4SF7FrNzc,,
rock-corpus_74.jams,I Fought The Law,Mike Ness,"Under the Influences, Volume 1",21,163,2013,17c4c6af-cc75-421b-bc52-5be5abb175f7,GBARL1201017,69505564,https://www.deezer.com/track/69505564,https://music.youtube.com/watch?v=C3McP-AoWgY,,
rock-corpus_82.jams,I Want To Hold Your Hand,The Beatles,1,4,145,2015,,GBUM71505904,116348598,https://www.deezer.com/track/116348598,https://music.youtube.com/watch?v=v1HDt1tknTc,,
rock-corpus_53.jams,Georgia On My Mind,Jacintha,Here's to Ben - A Vocal Tribute to Ben Webster,4,214,2023,3739ade3-fb20-4957-8f9e-8112e3126d84,FR8X02300640,2473100901,https://www.deezer.com/track/2473100901,https://music.youtube.com/watch?v=GUgnnCQ32yg,,
rock-corpus_176.jams,The Weight,The Band,The Last Waltz,7,224,2023,bf05cb71-ddd2-415b-883b-351b17d1d039,GBUM72305458,2435127745,https://www.deezer.com/track/2435127745,https://music.youtube.com/watch?v=xLFAQuWFcTo,,
rock-corpus_48.jams,Folsom Prison Blues,Johnny Cash,Mean Eyed Cat,4,165,2019,,USMR18886883,700715302,https://www.deezer.com/track/700715302,https://music.youtube.com/watch?v=iyODDnyvGo0,,
